(venv) gillian@LAPTOP-UPHBAHQF:~/volatility/volatility3$ python3 vol.py -f OtterCTF.vmem windows.procdump_custom.ProcdumpCustom --dump-dir dumps --pid 2728
Volatility 3 Framework 2.26.2
[DEBUG] PROCDUMP.PY CHARGÉ ✅
WARNING  volatility3.framework.layers.vmware: No metadata file found alongside VMEM file. A VMSS or VMSN file may be required to correctly process a VMEM file. These should be placed in the same directory with the same file name, e.g. OtterCTF.vmem and OtterCTF.vmss.
Progress:  100.00               PDB scanning finished
PID     ImageFileName   Result

0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7ffe0000-7ffeffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2c20000-354ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2210000-22bffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_390000-48ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_150000-1cffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_40000-41fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_20000-21fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_10000-1ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_30000-33fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_e0000-e0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_60000-c6fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_50000-50fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_d0000-d5fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_100000-13ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_f0000-f0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_140000-14cfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_250000-250fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_200000-201fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1e0000-1e1fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1d0000-1d0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1f0000-1f0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_240000-240fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_210000-23bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_270000-27ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_260000-266fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_280000-37ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_380000-38ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1d60000-1e3efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1bf0000-1bf0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1bb0000-1bc3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_620000-7a0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_490000-617fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_7b0000-1baffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1bd0000-1bd1fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1be0000-1be1fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1c30000-1caffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1c10000-1c11fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1c00000-1c00fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1c20000-1c22fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1cc0000-1cd7fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1cb0000-1cbffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1ce0000-1d5ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2190000-2193fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2110000-216bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_1e40000-210efff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2170000-2170fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2180000-2188fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_21d0000-21fffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_21a0000-21bbfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_21c0000-21c0fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2200000-2203fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2830000-2831fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_26c0000-26c3fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2430000-252ffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_23e0000-23e2fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_23c0000-23c8fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2330000-2395fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_22c0000-232bfff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_23a0000-23a7fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_23d0000-23dffff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2400000-2402fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_23f0000-23f2fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2410000-2410fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2420000-2422fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2640000-2644fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2630000-2632fff.dmp
0xaa8   explorer.exe    Dumpé à dumps/explorer.exe_2728_2530000-262ffff.dmp
